iter	RMSE
0	15.64359031
1	15.04396079
2	14.45569151
3	13.91258755
4	13.37862979
5	12.88225586
6	12.39695818
7	11.92523385
8	11.47020798
9	11.03214466
10	10.63710295
11	10.2793739
12	9.923378722
13	9.568007657
14	9.226009025
15	8.88603432
16	8.562125877
17	8.255246654
18	7.958938959
19	7.676444305
20	7.423151366
21	7.161692877
22	6.922594428
23	6.681503576
24	6.454366995
25	6.235145845
26	6.023677814
27	5.817913221
28	5.62810141
29	5.4424005
30	5.266541114
31	5.107666528
32	4.96477744
33	4.815884044
34	4.665912553
35	4.533638183
36	4.398735122
37	4.270708375
38	4.141359021
39	4.015201487
40	3.895535684
41	3.779126039
42	3.665417724
43	3.560152176
44	3.460203834
45	3.3645301
46	3.274946891
47	3.188661767
48	3.100272944
49	3.021006231
50	2.939534942
51	2.863521636
52	2.794173503
53	2.73123089
54	2.664597057
55	2.596743104
56	2.534547173
57	2.474394881
58	2.416400039
59	2.362925735
60	2.309391094
61	2.260198848
62	2.214540923
63	2.167654717
64	2.122428971
65	2.0795846
66	2.03716821
67	2.000100335
68	1.963409169
69	1.931709815
70	1.895066257
71	1.859752839
72	1.830972509
73	1.795715154
74	1.763791115
75	1.739361698
76	1.712914039
77	1.684410558
78	1.662479446
79	1.635949206
80	1.609165507
81	1.586328673
82	1.564185822
83	1.541104888
84	1.521682618
85	1.500077127
86	1.482669312
87	1.464356198
88	1.452255066
89	1.436612963
90	1.418721815
91	1.401097137
92	1.389227258
93	1.374806469
94	1.359787373
95	1.345505033
96	1.334112912
97	1.319948473
98	1.305770556
99	1.290247699
100	1.277375019
101	1.265483075
102	1.254324467
103	1.243616681
104	1.232804968
105	1.224514867
106	1.213383648
107	1.204007575
108	1.195011543
109	1.186334147
110	1.178064727
111	1.17033356
112	1.163794124
113	1.155989812
114	1.146386077
115	1.13869539
116	1.133504529
117	1.124814803
118	1.115048729
119	1.108768517
120	1.10192808
121	1.095141845
122	1.087248802
123	1.079405685
124	1.073474504
125	1.065387461
126	1.058973488
127	1.054544718
128	1.049002629
129	1.044322257
130	1.037245499
131	1.029762386
132	1.025795814
133	1.021329531
134	1.016639074
135	1.011924759
136	1.006329274
137	1.003252588
138	0.9957984323
139	0.9917157805
140	0.9869605567
141	0.9809192107
142	0.9766029533
143	0.9731195738
144	0.9699802291
145	0.9664198717
146	0.9617156579
147	0.9594387418
148	0.9572391628
149	0.9537503265
150	0.9518137704
151	0.9478929555
152	0.9462503725
153	0.943255181
154	0.9386863553
155	0.9351203036
156	0.930293958
157	0.9288267644
158	0.9261197986
159	0.9228166928
160	0.9193498232
161	0.9171092774
162	0.9159967501
163	0.9135225199
164	0.9090952436
165	0.9066806533
166	0.901766222
167	0.9004409868
168	0.8982350276
169	0.8945905871
170	0.8925160372
171	0.8891880279
172	0.8864694395
173	0.8828842879
174	0.882047463
175	0.8799439359
176	0.8774801654
177	0.8731397728
178	0.8689504509
179	0.8677420128
180	0.8665486125
181	0.866480284
182	0.8625965933
183	0.8610269979
184	0.8591194608
185	0.857349297
186	0.8543391799
187	0.8530398166
188	0.8502695745
189	0.8480919681
190	0.844370693
191	0.8414421872
192	0.8390736942
193	0.8374767731
194	0.8363948893
195	0.8346444272
196	0.8328532279
197	0.8309084064
198	0.8272190539
199	0.8243118972
200	0.822061187
201	0.8187146026
202	0.8163108226
203	0.8147421352
204	0.8110872823
205	0.8090472974
206	0.8081495679
207	0.8059486494
208	0.8038581199
209	0.8025996199
210	0.8009253893
211	0.7986779338
212	0.7978329173
213	0.7972879299
214	0.7951123162
215	0.7929785833
216	0.7913872989
217	0.7891176886
218	0.7873228634
219	0.7854565462
220	0.7819733127
221	0.7781300853
222	0.7764549145
223	0.7739056149
224	0.7726840132
225	0.7698518943
226	0.7680604968
227	0.7653400667
228	0.7645746261
229	0.763215071
230	0.760764956
231	0.7591734444
232	0.7576606088
233	0.7546868738
234	0.7528522808
235	0.7506873812
236	0.7493408702
237	0.7478568736
238	0.7469541834
239	0.7432169316
240	0.7423123638
241	0.7407690754
242	0.7370535107
243	0.7343282181
244	0.7335789196
245	0.7321791795
246	0.7316044286
247	0.7295916676
248	0.7258312182
249	0.7230819744
250	0.7220382143
251	0.7209639586
252	0.7199740131
253	0.7160837599
254	0.7150853671
255	0.7130273809
256	0.711338774
257	0.7097011259
258	0.7088681135
259	0.7083518849
260	0.7065213467
261	0.7059596568
262	0.705641488
263	0.7035028027
264	0.701069867
265	0.7000431915
266	0.697250603
267	0.6963834172
268	0.6946129842
269	0.6936502278
270	0.6901580506
271	0.6893440137
272	0.6885023924
273	0.6876158088
274	0.6850742816
275	0.6821795779
276	0.6812005342
277	0.6791780634
278	0.6763481807
279	0.6753691747
280	0.6744604524
281	0.6724081417
282	0.6715480648
283	0.6695709488
284	0.668323898
285	0.6659555676
286	0.6651996529
287	0.6633818622
288	0.6623639162
289	0.661447579
290	0.6591366536
291	0.6572752831
292	0.6567050459
293	0.6563455215
294	0.6541550978
295	0.6512812778
296	0.649590934
297	0.6474142732
298	0.6461377121
299	0.6445036844
300	0.6434371897
301	0.6427221586
302	0.6420497575
303	0.6403465479
304	0.6396368373
305	0.6375091954
306	0.6359480374
307	0.6352649855
308	0.6344647937
309	0.6337223966
310	0.6320277401
311	0.6299269215
312	0.6268884489
313	0.6260938598
314	0.6245859921
315	0.6238360541
316	0.6225244518
317	0.6220664478
318	0.6209119891
319	0.6191760006
320	0.6177233686
321	0.6166986796
322	0.6156065987
323	0.6146705178
324	0.6123276664
325	0.6110428112
326	0.6104897728
327	0.6094399279
