iter	Passed	Remaining
0	149	48768
1	151	24747
2	155	16860
3	157	12776
4	160	10342
5	162	8738
6	164	7555
7	166	6670
8	169	6005
9	171	5460
10	174	5015
11	176	4645
12	178	4325
13	180	4046
14	182	3801
15	183	3585
16	185	3401
17	187	3231
18	189	3079
19	191	2942
20	192	2821
21	194	2711
22	196	2608
23	198	2511
24	200	2424
25	202	2347
26	204	2274
27	205	2206
28	207	2143
29	209	2084
30	211	2030
31	213	1976
32	215	1924
33	217	1879
34	219	1835
35	220	1791
36	222	1751
37	224	1714
38	226	1679
39	229	1648
40	230	1615
41	232	1585
42	234	1554
43	236	1524
44	237	1496
45	239	1468
46	241	1444
47	243	1419
48	245	1395
49	246	1371
50	248	1349
51	250	1328
52	251	1307
53	253	1286
54	255	1267
55	256	1247
56	258	1229
57	260	1211
58	262	1194
59	264	1179
60	265	1163
61	267	1148
62	269	1133
63	271	1118
64	272	1104
65	274	1090
66	276	1075
67	277	1062
68	279	1049
69	281	1037
70	283	1025
71	284	1012
72	286	1001
73	288	989
74	290	978
75	291	967
76	293	956
77	295	945
78	296	935
79	298	925
80	300	915
81	301	905
82	303	895
83	305	886
84	306	877
85	308	867
86	310	859
87	311	850
88	313	843
89	315	834
90	317	826
91	319	818
92	320	810
93	322	802
94	324	794
95	325	787
96	327	779
97	329	772
98	330	765
99	332	757
100	334	750
101	335	743
102	337	736
103	339	730
104	340	723
105	342	717
106	344	710
107	345	704
108	347	698
109	349	692
110	351	686
111	352	680
112	354	674
113	356	668
114	358	663
115	359	657
116	361	651
117	363	646
118	364	640
119	366	635
120	368	629
121	369	624
122	371	618
123	373	614
124	374	608
125	376	603
126	378	598
127	380	593
128	381	588
129	383	583
130	385	579
131	386	574
132	388	570
133	390	565
134	392	561
135	394	556
136	396	552
137	397	547
138	400	544
139	402	539
140	404	535
141	405	531
142	407	527
143	409	523
144	411	519
145	412	514
146	414	510
147	416	505
148	417	501
149	419	497
150	421	493
151	423	490
152	425	486
153	427	482
154	429	479
155	431	475
156	433	472
157	435	468
158	437	465
159	439	461
160	441	457
161	443	454
162	445	450
163	446	446
164	448	443
165	450	439
166	452	436
167	455	433
168	456	429
169	458	426
170	460	423
171	462	419
172	464	416
173	466	412
174	468	409
175	470	406
176	472	402
177	473	399
178	475	396
179	477	392
180	479	389
181	480	385
182	482	382
183	484	379
184	486	375
185	488	372
186	490	369
187	491	366
188	493	363
189	495	359
190	497	356
191	499	354
192	501	350
193	503	347
194	505	344
195	507	341
196	508	338
197	510	335
198	512	332
199	514	329
200	516	326
201	519	323
202	521	321
203	524	318
204	526	315
205	528	312
206	530	309
207	532	307
208	534	304
209	536	301
210	538	298
211	541	296
212	543	293
213	546	290
214	548	288
215	550	285
216	553	283
217	555	280
218	557	277
219	560	275
220	562	272
221	564	269
222	566	266
223	568	264
224	571	261
225	573	259
226	576	256
227	578	253
228	580	251
229	583	248
230	585	245
231	587	243
232	589	240
233	592	237
234	594	235
235	597	232
236	599	230
237	601	227
238	604	225
239	606	222
240	609	219
241	611	217
242	614	214
243	616	212
244	619	209
245	621	207
246	624	204
247	626	202
248	629	199
249	631	197
250	634	194
251	637	192
252	639	189
253	642	187
254	644	184
255	646	181
256	650	179
257	652	177
258	654	174
259	657	171
260	659	169
261	661	166
262	663	164
263	666	161
264	669	159
265	671	156
266	673	153
267	676	151
268	678	148
269	681	146
270	683	143
271	685	141
272	688	138
273	690	136
274	692	133
275	694	130
276	697	128
277	699	125
278	701	123
279	703	120
280	704	117
281	707	115
282	709	112
283	711	110
284	713	107
285	716	105
286	718	102
287	720	100
288	723	97
289	725	95
290	727	92
291	729	89
292	731	87
293	733	84
294	735	82
295	737	79
296	739	77
297	741	74
298	743	72
299	746	69
300	748	67
301	750	64
302	752	62
303	754	59
304	756	57
305	758	54
306	761	52
307	763	49
308	765	47
309	767	44
310	769	42
311	772	39
312	774	37
313	776	34
314	778	32
315	780	29
316	783	27
317	785	24
318	788	22
319	791	19
320	793	17
321	796	14
322	798	12
323	800	9
324	802	7
325	804	4
326	807	2
327	809	0
