Datum,BHKW1_Biogas,BHKW2_Biogas,Methangehalt CH4,TS-Wert,pH-Wert
734124.9993,1262,4790,53.53009033,7.4421292,7.6840274
734125.0827,1222.58379,4802.499855,53.53009033,7.959729408,7.706535264
734125.166,1183.167579,4814.999711,53.53009033,7.453511179,7.691779729
734125.2493,1143.751369,4827.499566,53.53009033,8.026360762,7.679974892
734125.3327,1104.335158,4839.999421,53.53009033,7.560806748,7.702491306
734125.416,1064.918948,4852.499277,53.53009033,7.569912104,7.697105055
734125.4993,1025.502737,4864.999132,53.53009033,7.384810232,7.6967588
734125.5827,986.0865268,4877.498987,53.53009033,7.572945456,7.697858491
734125.666,946.6703164,4889.998843,53.53009033,7.941834666,7.699015891
734125.7493,907.2541059,4902.498698,53.53009033,8.099209795,7.708970817
734125.8327,867.8378954,4914.998553,53.53009033,8.104281818,7.712789462
734125.916,828.421685,4927.498409,53.53009033,7.624698191,7.705264575
734125.9993,789.0054745,4939.998264,53.53009033,7.937625806,7.701588793
734126.0827,885.7365625,4966.662963,53.31551767,8.077048377,7.703586812
734126.166,982.4865624,4993.32963,53.1009152,8.034946627,7.720198561
734126.2493,1079.236562,5019.996296,52.88631273,7.913639848,7.718865009
734126.3327,1175.986562,5046.662963,52.67171026,7.61653719,7.692906677
734126.416,1272.736562,5073.32963,52.45710779,7.573230411,7.68440251
734126.4993,1369.486562,5099.996296,52.24250532,8.046828626,7.668631729
734126.5827,1466.236562,5126.662963,52.02790285,7.56369827,7.659026274
734126.666,1562.986562,5153.32963,51.81330037,8.009906845,7.665162745
734126.7493,1659.736562,5179.996296,51.5986979,8.06331396,7.655611783
734126.8327,1756.486562,5206.662963,51.38409543,7.591944525,7.638597039
734126.916,1853.236562,5233.32963,51.16949296,7.615516173,7.60803937
734126.9993,1949.986562,5259.996296,50.95489049,7.964869037,7.656649287
734127.0827,1959.332145,5229.170592,50.9693264,7.537632173,7.656424383
734127.166,1968.665586,5198.336902,50.98379413,7.632656114,7.671920393
734127.2493,1977.999028,5167.503212,50.99826185,8.083166523,7.6757669
734127.3327,1987.332469,5136.669522,51.01272958,7.605018985,7.681424054
734127.416,1996.66591,5105.835831,51.0271973,7.451138512,7.686111363
734127.4993,2005.999352,5075.002141,51.04166503,7.574208849,7.669846839
734127.5827,2015.332793,5044.168451,51.05613275,7.991075099,7.715951042
734127.666,2024.666235,5013.334761,51.07060048,7.677164712,7.685887545
734127.7493,2033.999676,4982.501071,51.0850682,7.557725894,7.681069064
734127.8327,2043.333117,4951.66738,51.09953593,7.445842894,7.677211064
734127.916,2052.666559,4920.83369,51.11400365,7.91210414,7.673353064
734127.9993,2062,4890,51.12847137,8.000373616,7.68802144
734128.0827,2055.416667,4920.833333,51.25144577,7.610074726,7.68492814
734128.166,2048.833333,4951.666667,51.37442017,7.391302573,7.695988808
734128.2493,2042.25,4982.5,51.49739456,7.417828745,7.688913128
734128.3327,2035.666667,5013.333333,51.62036896,7.579369219,7.694251904
734128.416,2029.083333,5044.166667,51.74334335,7.454327601,7.709363743
734128.4993,2022.5,5075,51.86631775,7.72586252,7.732255937
734128.5827,2015.916667,5105.833333,51.98929214,8.067305235,7.734889624
734128.666,2009.333333,5136.666667,52.11226654,7.500559398,7.725628827
734128.7493,2002.75,5167.5,52.23524094,7.752996584,7.68241376
734128.8327,1996.166667,5198.333333,52.35821533,7.519898214,7.724768713
734128.916,1989.583333,5229.166667,52.48118973,7.44443451,7.699230498
734128.9993,1983,5260,52.60416412,7.427332894,7.720496979
734129.0827,1982.916667,5256.666667,52.58487415,7.344661776,7.704670143
734129.166,1982.833333,5253.333333,52.56558418,7.569348687,7.709683904
734129.2493,1982.75,5250,52.54629421,7.502560983,7.728526324
734129.3327,1982.666667,5246.666667,52.52700424,7.34707133,7.73289628
734129.416,1982.583333,5243.333333,52.50771427,7.591727658,7.734888979
734129.4993,1982.5,5240,52.4884243,7.480949731,7.733088677
734129.5827,1982.416667,5236.666667,52.46913433,7.797628406,7.714374665
734129.666,1982.333333,5233.333333,52.44984436,7.65571318,7.686691976
734129.7493,1982.25,5230,52.43055439,7.598243559,7.705345663
734129.8327,1982.166667,5226.666667,52.41126442,7.204804824,7.275207831
734129.916,1982.083333,5223.333333,52.39197445,7.788150958,7.694956438
734129.9993,1982,5220,52.37268448,8.089775926,7.722823524
734130.0827,1986.58328,5225.833266,52.27864629,7.676758764,7.725243774
734130.166,1991.166561,5231.666532,52.18460809,7.471808972,7.740228399
734130.2493,1995.749841,5237.499797,52.0905699,7.670425105,7.712765503
734130.3327,2000.333121,5243.333063,51.99653171,7.580490012,7.709940032
734130.416,2004.916401,5249.166329,51.90249351,7.834527518,7.708011032
734130.4993,2009.499682,5254.999595,51.80845532,8.070891537,7.697689676
734130.5827,2014.082962,5260.832861,51.71441713,7.582618971,7.70199992
734130.666,2018.666242,5266.666127,51.62037894,7.871443007,7.681645353
734130.7493,2023.249523,5272.499392,51.52634074,7.557437659,7.669751192
734130.8327,2027.832803,5278.332658,51.43230255,8.031190883,7.684286743
734130.916,2032.416083,5284.165924,51.33826436,7.570404322,7.681069064
734130.9993,2036.999363,5289.99919,51.24422617,7.587304309,7.671693225
734131.0827,2054.331127,5310.830681,51.21045956,7.629752112,7.652651702
734131.166,2071.66466,5331.664255,51.17670132,7.705771706,7.666925743
734131.2493,2088.998194,5352.49783,51.14294308,7.961970249,7.659978128
734131.3327,2106.331728,5373.331404,51.10918485,8.151936332,7.64862467
734131.416,2123.665262,5394.164979,51.07542661,7.801748893,7.683572167
734131.4993,2140.998796,5414.998553,51.04166838,7.968389543,7.692258872
734131.5827,2158.33233,5435.832128,51.00791014,7.489642106,7.640295576
734131.666,2175.665864,5456.665702,50.9741519,7.734090787,7.690722091
734131.7493,2192.999398,5477.499277,50.94039367,7.642346743,7.662675513
734131.8327,2210.332932,5498.332851,50.90663543,7.668728487,7.678435711
734131.916,2227.666466,5519.166426,50.87287719,7.207238054,7.647307545
734131.9993,2245,5540,50.83911896,7.964476451,7.646219
734132.0827,2265.583095,5544.166618,50.85358635,7.915649432,7.657405579
734132.166,2286.16619,5548.333237,50.86805374,7.767339868,7.663387904
734132.2493,2306.749285,5552.499855,50.88252113,7.098412563,7.684094969
734132.3327,2327.33238,5556.666474,50.89698852,7.470992778,7.65868946
734132.416,2347.915476,5560.833092,50.91145591,7.283149842,7.655928032
734132.4993,2368.498571,5564.999711,50.9259233,7.078546444,7.663323872
734132.5827,2389.081666,5569.166329,50.94039069,7.843860555,7.662647516
734132.666,2409.664761,5573.332948,50.95485808,7.538403776,7.685927599
734132.7493,2430.247856,5577.499566,50.96932547,7.761993248,7.686728
734132.8327,2450.830951,5581.666184,50.98379286,7.561183798,7.679268128
734132.916,2471.414046,5585.832803,50.99826025,7.345134631,7.671552128
734132.9993,2491.997141,5589.999421,51.01272764,7.434140178,7.704587989
